fecha,real,modelo_random_forest,modelo_arbol,modelo_extra_trees,modelo_hist_gradient_boosting,modelo_holt_winters,modelo_ridge,modelo_regresion_lineal,ultimo_valor,estacional_7,media_movil_7,limite_inferior,limite_superior
2026-07-17,2803273.76,2728269.412398775,2752025.2663636366,2733456.60038977,2736823.1815695297,2731637.034089357,2730793.142633011,2764656.158769802,2740005.27,2747065.68,2635967.847734426,2636862.3293636367,2867188.2033636365
2026-07-18,2687787.67,2605497.9865661017,2644953.5933333337,2616988.3739766744,2628305.416541031,2631707.278286538,2583388.1525413003,2582093.255731501,2740005.27,2693447.65,2636275.6046235473,2529790.656333334,2760116.5303333336
2026-07-19,2496194.17,2425279.541692937,2437795.6723076925,2427938.5010544644,2431137.1948415246,2423208.3995698034,2483897.452763237,2459343.085399995,2740005.27,2454842.48,2636703.6995366253,2322632.7353076926,2552958.6093076924
2026-07-20,2506247.56,2498890.4291755157,2465628.959090909,2489235.041161601,2479886.536244258,2650220.2290965547,2465221.756960744,2445298.004161765,2740005.27,2497857.6,2636960.963268367,2350466.022090909,2580791.896090909
2026-07-21,2694129.84,2699273.593431424,2699565.914285715,2699644.6888620113,2705847.0291101485,2722639.7487608646,2698584.8447332573,2676612.9017791953,2740005.27,2740005.27,2636781.2902146713,2584402.9772857153,2814728.851285715
2026-07-22,2736387.86,2719869.264328759,2709922.1280000005,2722219.670928113,2723157.2534319838,2742289.6197133185,2743446.7756311116,2718319.1417730823,2740005.27,2788523.73,2636491.87854962,2594759.1910000006,2825085.0650000004
2026-07-23,2731533.84,2722450.810207384,2709922.1280000005,2727735.413708146,2730226.886517777,2727343.036713603,2749079.702053178,2731810.110137274,2740005.27,2789830.6,2636462.2469948647,2594759.1910000006,2825085.0650000004
2026-07-24,2707736.67,2725583.320179991,2709922.1280000005,2728221.0104025644,2727857.000311854,2731637.034089601,2735300.4093444794,2768812.701729862,2740005.27,2747065.68,2636520.504417446,2594759.1910000006,2825085.0650000004
2026-07-25,2628282.0,2596229.99132118,2602403.2010526317,2610260.791726024,2628156.902514556,2631707.278286771,2592812.6270515407,2590717.595766158,2740005.27,2693447.65,2636599.455372163,2487240.264052632,2717566.1380526316
2026-07-26,2435159.51,2418319.6113405875,2437795.6723076925,2423881.1185366274,2429284.1710782945,2423208.399570026,2494661.4746197397,2468890.776422285,2740005.27,2454842.48,2636645.719764822,2322632.7353076926,2552958.6093076924
2026-07-27,2693974.16,2658175.841361227,2652941.50875,2681724.6054689377,2644590.251753506,2650220.2290967675,2580296.286800247,2593831.377839576,2740005.27,2497857.6,2636637.436940279,2537778.57175,2768104.44575
2026-07-28,2735012.18,2703607.712416968,2697316.2132500005,2720047.223560684,2712470.64874119,2722639.7487610676,2707206.106687626,2702588.049563704,2740005.27,2740005.27,2636591.2188934092,2582153.2762500006,2812479.1502500004
2026-07-29,2792949.4,2722055.1287202607,2725563.602,2732813.723010016,2734750.401456215,2742289.619713513,2745309.561050335,2721736.8557891576,2740005.27,2788523.73,2636564.0658475147,2610400.665,2840726.539
2026-07-30,2802372.01,2727975.4075769954,2725563.602,2734657.3361220243,2742982.9964063726,2727343.0367137883,2749231.2110948507,2730807.931184452,2740005.27,2789830.6,2636574.3783186427,2610400.665,2840726.539
2026-07-31,2779037.18,2727228.968017349,2725563.602,2734458.249040479,2752572.0967721534,2731637.034089778,2736566.4939492424,2775897.7809451455,2740005.27,2747065.68,2636590.3970791823,2610400.665,2840726.539
