fecha,demanda_total_kwh,demanda_regulada_kwh,demanda_no_regulada_kwh,perdidas_total_kwh,perdidas_regulada_kwh,perdidas_no_regulada_kwh,consumo_facturado_calendarizado_total_kwh,consumo_facturado_mensual_kwh,consumo_facturado_trimestral_kwh,consumo_facturado_irregular_kwh,registros_facturacion_activos,dia_semana,es_fin_de_semana,mes,dia_del_ano,cobertura_calendarizacion_completa
2025-02-04,2783170.150000,2530724.020000,252446.130000,36847.860000,33146.380000,3701.480000,2325921.389464,1957754.750170,368166.639294,0.000000,567177,1,0,2,35,1
2025-02-05,2766316.880000,2521165.640000,245151.240000,44110.810000,39741.890000,4368.920000,2325921.389464,1957754.750170,368166.639294,0.000000,567177,2,0,2,36,1
2025-02-06,2757929.420000,2514038.470000,243890.950000,37688.500000,34015.530000,3672.970000,2325921.389464,1957754.750170,368166.639294,0.000000,567177,3,0,2,37,1
2025-02-07,2782232.940000,2527172.700000,255060.240000,43643.850000,39306.430000,4337.420000,2325921.389464,1957754.750170,368166.639294,0.000000,567177,4,0,2,38,1
2025-02-08,2665881.470000,2414669.540000,251211.930000,46222.370000,41482.120000,4740.250000,2325921.389464,1957754.750170,368166.639294,0.000000,567177,5,1,2,39,1
2025-02-09,2415046.600000,2194846.030000,220200.570000,34231.070000,30781.700000,3449.370000,2325921.389464,1957754.750170,368166.639294,0.000000,567177,6,1,2,40,1
2025-02-10,2727517.360000,2475586.710000,251930.650000,35261.070000,31829.300000,3431.770000,2325921.389464,1957754.750170,368166.639294,0.000000,567177,0,0,2,41,1
2025-02-11,2744433.240000,2485819.640000,258613.600000,42595.570000,38182.300000,4413.270000,2325921.389464,1957754.750170,368166.639294,0.000000,567177,1,0,2,42,1
2025-02-12,2790802.490000,2528052.680000,262749.810000,35354.930000,31484.240000,3870.690000,2325921.389464,1957754.750170,368166.639294,0.000000,567177,2,0,2,43,1
2025-02-13,2742995.180000,2482034.790000,260960.390000,38386.590000,34382.070000,4004.520000,2325921.389464,1957754.750170,368166.639294,0.000000,567175,3,0,2,44,1
2025-02-14,2726584.020000,2468883.070000,257700.950000,46807.680000,42188.980000,4618.700000,2325921.389464,1957754.750170,368166.639294,0.000000,567175,4,0,2,45,1
2025-02-15,2565811.700000,2329447.450000,236364.250000,39841.940000,35566.710000,4275.230000,2325921.389464,1957754.750170,368166.639294,0.000000,567169,5,1,2,46,1
2025-02-16,2403104.660000,2183992.710000,219111.950000,35866.330000,31994.770000,3871.560000,2317843.556131,1949676.916836,368166.639294,0.000000,566974,6,1,2,47,1
2025-02-17,2679909.210000,2433190.200000,246719.010000,43332.400000,39020.270000,4312.130000,2334508.779164,1966342.139870,368166.639294,0.000000,568729,0,0,2,48,1
2025-02-18,2710177.960000,2458476.460000,251701.500000,42488.620000,38195.960000,4292.660000,2351581.466234,1983414.826940,368166.639294,0.000000,570115,1,0,2,49,1
2025-02-19,2767981.080000,2500933.900000,267047.180000,42974.990000,38290.200000,4684.790000,2361612.173632,1993445.534338,368166.639294,0.000000,571203,2,0,2,50,1
2025-02-20,2800032.730000,2526083.470000,273949.260000,46113.520000,41164.150000,4949.370000,2388843.083612,2020676.444318,368166.639294,0.000000,572971,3,0,2,51,1
2025-02-21,2821148.200000,2550881.040000,270267.160000,48834.730000,43839.210000,4995.520000,2347465.678994,1979299.039699,368166.639294,0.000000,570770,4,0,2,52,1
2025-02-22,2651614.640000,2414734.400000,236880.240000,42879.820000,38551.270000,4328.550000,2339392.835990,1971226.196695,368166.639294,0.000000,569730,5,1,2,53,1
2025-02-23,2444076.860000,2221138.800000,222938.060000,49221.460000,44285.760000,4935.700000,2350913.819746,1982747.180452,368166.639294,0.000000,570276,6,1,2,54,1
2025-02-24,2798291.520000,2546336.160000,251955.360000,58299.370000,52896.760000,5402.610000,2354878.975413,1986712.336119,368166.639294,0.000000,569344,0,0,2,55,1
2025-02-25,2681278.280000,2417562.050000,263716.230000,50234.110000,45105.840000,5128.270000,2326662.599895,1958495.960601,368166.639294,0.000000,567351,1,0,2,56,1
2025-02-26,2627645.930000,2359616.670000,268029.260000,41609.200000,36907.160000,4702.040000,2326662.599895,1958495.960601,368166.639294,0.000000,567351,2,0,2,57,1
2025-02-27,2531078.010000,2265889.840000,265188.170000,42343.260000,37529.740000,4813.520000,2326662.599895,1958495.960601,368166.639294,0.000000,567351,3,0,2,58,1
2025-02-28,2821713.380000,2564734.790000,256978.590000,45388.610000,40907.620000,4480.990000,2326662.599895,1958495.960601,368166.639294,0.000000,567351,4,0,2,59,1
2025-03-01,2686472.040000,2448729.190000,237742.850000,55450.500000,50227.260000,5223.240000,2084082.081376,1715915.442082,368166.639294,0.000000,567063,5,1,3,60,1
2025-03-02,2449367.450000,2235049.220000,214318.230000,33188.330000,30016.170000,3172.160000,2319432.114710,1951265.475415,368166.639294,0.000000,567357,6,1,3,61,1
2025-03-03,2706356.790000,2461746.540000,244610.250000,45594.360000,41352.650000,4241.710000,2319432.114710,1951265.475415,368166.639294,0.000000,567357,0,0,3,62,1
2025-03-04,2710405.310000,2474813.650000,235591.660000,45348.600000,41005.290000,4343.310000,2319432.389710,1951265.475415,368166.639294,0.275000,567358,1,0,3,63,1
2025-03-05,2744031.160000,2507489.230000,236541.930000,37899.260000,34255.180000,3644.080000,2319432.389710,1951265.475415,368166.639294,0.275000,567358,2,0,3,64,1
2025-03-06,2735348.840000,2494256.410000,241092.430000,40665.730000,36794.930000,3870.800000,2319432.456937,1951265.475415,368166.639294,0.342227,567359,3,0,3,65,1
2025-03-07,2701015.210000,2463561.340000,237453.870000,45378.700000,41029.500000,4349.200000,2319433.952663,1951265.475415,368166.639294,1.837953,567360,4,0,3,66,1
2025-03-08,2602325.830000,2383627.680000,218698.150000,40944.450000,37139.030000,3805.420000,2319436.954184,1951265.475415,368166.639294,4.839475,567362,5,1,3,67,1
2025-03-09,2422841.560000,2211305.640000,211535.920000,36773.030000,33361.100000,3411.930000,2319436.954184,1951265.475415,368166.639294,4.839475,567362,6,1,3,68,1
2025-03-10,2739774.340000,2487571.470000,252202.870000,40801.590000,36699.660000,4101.930000,2319436.954184,1951265.475415,368166.639294,4.839475,567362,0,0,3,69,1
2025-03-11,2796127.300000,2533667.150000,262460.150000,45316.580000,40569.310000,4747.270000,2320076.803924,1951265.475415,368166.639294,644.689214,567372,1,0,3,70,1
2025-03-12,2769508.080000,2508017.620000,261490.460000,40721.450000,36438.110000,4283.340000,2320076.803924,1951265.475415,368166.639294,644.689214,567372,2,0,3,71,1
2025-03-13,2763996.820000,2508646.190000,255350.630000,44532.680000,39939.270000,4593.410000,2319437.303924,1951265.475415,368166.639294,5.189214,567365,3,0,3,72,1
2025-03-14,2750102.820000,2507806.250000,242296.570000,51238.420000,46293.200000,4945.220000,2319439.987685,1951265.475415,368166.639294,7.872975,567366,4,0,3,73,1
2025-03-15,2637867.570000,2406695.970000,231171.600000,46675.610000,42118.430000,4557.180000,2319439.987685,1951265.475415,368166.639294,7.872975,567366,5,1,3,74,1
2025-03-16,2415719.930000,2201687.790000,214032.140000,43902.850000,39526.830000,4376.020000,2314458.358055,1946283.845786,368166.639294,7.872975,566981,6,1,3,75,1
2025-03-17,2675206.870000,2428314.750000,246892.120000,43234.560000,38968.810000,4265.750000,2317645.332369,1949339.134633,368236.210863,69.986873,565062,0,0,3,76,1
2025-03-18,2695499.290000,2439718.090000,255781.200000,40378.670000,36131.610000,4247.060000,2300580.542643,1932270.479609,368237.113388,72.949645,562788,1,0,3,77,1
2025-03-19,2735187.250000,2473412.260000,261774.990000,40248.490000,35891.240000,4357.250000,2281517.537157,1913207.474123,368237.113388,72.949645,561530,2,0,3,78,1
2025-03-20,2758299.790000,2497426.180000,260873.610000,44227.880000,39680.460000,4547.420000,2233262.343154,1864947.264475,368237.959542,77.119136,560624,3,0,3,79,1
2025-03-21,2763268.110000,2496162.280000,267105.830000,38073.690000,34131.580000,3942.110000,2270450.016057,1902106.131731,368266.711136,77.173190,562204,4,0,3,80,1
2025-03-22,2640004.950000,2397375.640000,242629.310000,64189.130000,58060.140000,6128.990000,2273486.178226,1905142.293900,368266.711136,77.173190,563372,5,1,3,81,1
2025-03-23,2443165.960000,2220421.150000,222744.810000,39848.640000,35936.920000,3911.720000,2284386.108209,1916038.186500,368270.748519,77.173190,565405,6,1,3,82,1
2025-03-24,2527571.880000,2299463.340000,228108.540000,42211.750000,37867.000000,4344.750000,2302587.303792,1934237.568999,368272.561603,77.173190,568332,0,0,3,83,1
2025-03-25,2782839.320000,2523193.960000,259645.360000,45227.180000,40570.420000,4656.760000,2303004.831811,1934237.568999,368542.125412,225.137400,568610,1,0,3,84,1
2025-03-26,2824334.550000,2547566.190000,276768.360000,44689.160000,39981.470000,4707.690000,2303050.339424,1934237.568999,368580.404538,232.365887,568630,2,0,3,85,1
